"Sl","Gene"
"1","ENSG00000000003"
"2","ENSG00000000005"
"3","ENSG00000000419"
"4","ENSG00000000457"
"5","ENSG00000000460"
"6","ENSG00000000938"
"7","ENSG00000000971"
"8","ENSG00000001036"
"9","ENSG00000001084"
"10","ENSG00000001167"
"11","ENSG00000001460"
"12","ENSG00000001461"
"13","ENSG00000001497"
"14","ENSG00000001561"
"15","ENSG00000001617"
"16","ENSG00000001626"
"17","ENSG00000001629"
"18","ENSG00000001630"
"19","ENSG00000001631"
"20","ENSG00000002330"
"21","ENSG00000002549"
"22","ENSG00000002586"
"23","ENSG00000002587"
"24","ENSG00000002726"
"25","ENSG00000002745"
"26","ENSG00000002746"
"27","ENSG00000002822"
"28","ENSG00000002834"
"29","ENSG00000002919"
"30","ENSG00000002933"
"31","ENSG00000003056"
"32","ENSG00000003096"
"33","ENSG00000003137"
"34","ENSG00000003147"
"35","ENSG00000003249"
"36","ENSG00000003393"
"37","ENSG00000003400"
"38","ENSG00000003402"
"39","ENSG00000003436"
"40","ENSG00000003509"
"41","ENSG00000003756"
"42","ENSG00000003987"
"43","ENSG00000003989"
"44","ENSG00000004139"
"45","ENSG00000004399"
"46","ENSG00000004455"
"47","ENSG00000004468"
"48","ENSG00000004478"
"49","ENSG00000004487"
"50","ENSG00000004534"
"51","ENSG00000004660"
"52","ENSG00000004700"
"53","ENSG00000004766"
"54","ENSG00000004776"
"55","ENSG00000004777"
"56","ENSG00000004809"
"57","ENSG00000004838"
"58","ENSG00000004846"
"59","ENSG00000004864"
"60","ENSG00000004866"
"61","ENSG00000004897"
"62","ENSG00000004939"
"63","ENSG00000004948"
"64","ENSG00000004961"
"65","ENSG00000004975"
"66","ENSG00000005001"
"67","ENSG00000005007"
"68","ENSG00000005020"
"69","ENSG00000005059"
"70","ENSG00000005073"
"71","ENSG00000005075"
"72","ENSG00000005102"
"73","ENSG00000005108"
"74","ENSG00000005156"
"75","ENSG00000005175"
"76","ENSG00000005187"
"77","ENSG00000005189"
"78","ENSG00000005194"
"79","ENSG00000005238"
"80","ENSG00000005243"
"81","ENSG00000005249"
"82","ENSG00000005302"
"83","ENSG00000005339"
"84","ENSG00000005379"
"85","ENSG00000005381"
"86","ENSG00000005421"
"87","ENSG00000005448"
"88","ENSG00000005469"
"89","ENSG00000005471"
"90","ENSG00000005486"
"91","ENSG00000005513"
"92","ENSG00000005700"
"93","ENSG00000005801"
"94","ENSG00000005810"
"95","ENSG00000005844"
"96","ENSG00000005882"
"97","ENSG00000005884"
"98","ENSG00000005889"
"99","ENSG00000005893"
"100","ENSG00000005955"
"101","ENSG00000005961"
"102","ENSG00000005981"
"103","ENSG00000006015"
"104","ENSG00000006016"
"105","ENSG00000006025"
"106","ENSG00000006042"
"107","ENSG00000006047"
"108","ENSG00000006071"
"109","ENSG00000006114"
"110","ENSG00000006118"
"111","ENSG00000006125"
"112","ENSG00000006128"
"113","ENSG00000006194"
"114","ENSG00000006210"
"115","ENSG00000006282"
"116","ENSG00000006283"
"117","ENSG00000006327"
"118","ENSG00000006377"
"119","ENSG00000006432"
"120","ENSG00000006453"
"121","ENSG00000006459"
"122","ENSG00000006530"
"123","ENSG00000006555"
"124","ENSG00000006576"
"125","ENSG00000006607"
"126","ENSG00000006611"
"127","ENSG00000006625"
"128","ENSG00000006652"
"129","ENSG00000006695"
"130","ENSG00000006704"
"131","ENSG00000006712"
"132","ENSG00000006715"
"133","ENSG00000006740"
"134","ENSG00000006744"
"135","ENSG00000006747"
"136","ENSG00000006756"
"137","ENSG00000006757"
"138","ENSG00000006788"
"139","ENSG00000006831"
"140","ENSG00000006837"
"141","ENSG00000007001"
"142","ENSG00000007038"
"143","ENSG00000007047"
"144","ENSG00000007062"
"145","ENSG00000007080"
"146","ENSG00000007129"
"147","ENSG00000007168"
"148","ENSG00000007171"
"149","ENSG00000007174"
"150","ENSG00000007202"
"151","ENSG00000007216"
"152","ENSG00000007237"
"153","ENSG00000007255"
"154","ENSG00000007264"
"155","ENSG00000007312"
"156","ENSG00000007314"
"157","ENSG00000007341"
"158","ENSG00000007350"
"159","ENSG00000007372"
"160","ENSG00000007376"
"161","ENSG00000007392"
"162","ENSG00000007402"
"163","ENSG00000007516"
"164","ENSG00000007520"
"165","ENSG00000007541"
"166","ENSG00000007545"
"167","ENSG00000007866"
"168","ENSG00000007908"
"169","ENSG00000007923"
"170","ENSG00000007933"
"171","ENSG00000007952"
"172","ENSG00000007968"
"173","ENSG00000008018"
"174","ENSG00000008056"
"175","ENSG00000008083"
"176","ENSG00000008086"
"177","ENSG00000008118"
"178","ENSG00000008128"
"179","ENSG00000008130"
"180","ENSG00000008196"
"181","ENSG00000008197"
"182","ENSG00000008226"
"183","ENSG00000008256"
"184","ENSG00000008277"
"185","ENSG00000008282"
"186","ENSG00000008283"
"187","ENSG00000008294"
"188","ENSG00000008311"
"189","ENSG00000008323"
"190","ENSG00000008324"
"191","ENSG00000008382"
"192","ENSG00000008394"
"193","ENSG00000008405"
"194","ENSG00000008438"
"195","ENSG00000008513"
"196","ENSG00000008516"
"197","ENSG00000008517"
"198","ENSG00000008710"
"199","ENSG00000008735"
"200","ENSG00000008838"
"201","ENSG00000008869"
"202","ENSG00000008952"
"203","ENSG00000008988"
"204","ENSG00000009307"
"205","ENSG00000009335"
"206","ENSG00000009694"
"207","ENSG00000009724"
"208","ENSG00000009780"
"209","ENSG00000009790"
"210","ENSG00000009830"
"211","ENSG00000009844"
"212","ENSG00000009954"
"213","ENSG00000010017"
"214","ENSG00000010030"
"215","ENSG00000010072"
"216","ENSG00000010165"
"217","ENSG00000010219"
"218","ENSG00000010244"
"219","ENSG00000010256"
"220","ENSG00000010270"
"221","ENSG00000010278"
"222","ENSG00000010282"
"223","ENSG00000010292"
"224","ENSG00000010310"
"225","ENSG00000010318"
"226","ENSG00000010319"
"227","ENSG00000010322"
"228","ENSG00000010327"
"229","ENSG00000010361"
"230","ENSG00000010539"
"231","ENSG00000010610"
"232","ENSG00000010626"
"233","ENSG00000010671"
"234","ENSG00000010704"
"235","ENSG00000010803"
"236","ENSG00000010810"
"237","ENSG00000010932"
"238","ENSG00000011007"
"239","ENSG00000011021"
"240","ENSG00000011028"
"241","ENSG00000011052"
"242","ENSG00000011083"
"243","ENSG00000011105"
"244","ENSG00000011114"
"245","ENSG00000011132"
"246","ENSG00000011143"
"247","ENSG00000011198"
"248","ENSG00000011243"
"249","ENSG00000011258"
"250","ENSG00000011260"
"251","ENSG00000011275"
"252","ENSG00000011295"
"253","ENSG00000011304"
"254","ENSG00000011332"
"255","ENSG00000011347"
"256","ENSG00000011376"
"257","ENSG00000011405"
"258","ENSG00000011422"
"259","ENSG00000011451"
"260","ENSG00000011465"
"261","ENSG00000011478"
"262","ENSG00000011485"
"263","ENSG00000011523"
"264","ENSG00000011566"
"265","ENSG00000011600"
"266","ENSG00000011638"
"267","ENSG00000011677"
"268","ENSG00000012048"
"269","ENSG00000012061"
"270","ENSG00000012124"
"271","ENSG00000012174"
"272","ENSG00000012211"
"273","ENSG00000012223"
"274","ENSG00000012232"
"275","ENSG00000012504"
"276","ENSG00000012660"
"277","ENSG00000012779"
"278","ENSG00000012822"
"279","ENSG00000012963"
"280","ENSG00000012983"
"281","ENSG00000013275"
"282","ENSG00000013288"
"283","ENSG00000013293"
"284","ENSG00000013297"
"285","ENSG00000013306"
"286","ENSG00000013364"
"287","ENSG00000013374"
"288","ENSG00000013375"
"289","ENSG00000013392"
"290","ENSG00000013441"
"291","ENSG00000013503"
"292","ENSG00000013523"
"293","ENSG00000013561"
"294","ENSG00000013583"
"295","ENSG00000013588"
"296","ENSG00000013619"
"297","ENSG00000013725"
"298","ENSG00000013810"
"299","ENSG00000014123"
"300","ENSG00000014138"
"301","ENSG00000014164"
"302","ENSG00000014216"
"303","ENSG00000014257"
"304","ENSG00000014641"
"305","ENSG00000014824"
